waspbust_id,nest_foundDate,municip_name,species,nest_locType,nest_hight,nest_diameter,nest_longitude,nest_latitude,nest_status,nest_judgementDate,municip_code,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,month,year_offset,index,MMM,year,station_name,code_merge,merge_cod,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind
11,9/27/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,3,30,"5,312,166,956","4,779,313,656",CERRADA - ELIMINADO,9/27/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,9,2017,3436,SET,2017,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0,88.6,0.910431623,0.328069798,0.201534399,16,12,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
12,9/24/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,5,15,"531,307,698","4,774,559,689",CERRADA - ELIMINADO,9/24/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,9,2017,3436,SET,2017,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0,88.6,0.910431623,0.328069798,0.201534399,16,12,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
13,8/23/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,6,1,"5,316,091,147","4,777,746,203",CERRADA - ELIMINADO,8/23/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2017,3027,AGO,2017,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0,86.9,0.935256722,0.367281276,0.192827396,19,11,74.5,2.6,20.6,16.7,16,30,21.2,11.9,6.8,52.2,29.4
14,8/21/2018 0:00,Abadiño,AVISPA COMÚN,CONSTRUCCIÓN,13,60,"5,299,494,021","4,775,421,649",CERRADA - ELIMINADO,8/21/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2017,3027,AGO,2017,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0,86.9,0.935256722,0.367281276,0.192827396,19,11,74.5,2.6,20.6,16.7,16,30,21.2,11.9,6.8,52.2,29.4
15,8/17/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,4,50,"5,312,973,589","4,774,535,309",CERRADA - ELIMINADO,8/17/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2017,3027,AGO,2017,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0,86.9,0.935256722,0.367281276,0.192827396,19,11,74.5,2.6,20.6,16.7,16,30,21.2,11.9,6.8,52.2,29.4
16,8/16/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,15,100,"5,320,796,868","4,777,377,036",CERRADA - ELIMINADO,8/16/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2017,3027,AGO,2017,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0,86.9,0.935256722,0.367281276,0.192827396,19,11,74.5,2.6,20.6,16.7,16,30,21.2,11.9,6.8,52.2,29.4
17,10/8/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,5,15,"5,311,497,891","4,778,093,041",CERRADA - ELIMINADO,8/13/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,10,2017,3845,OCT,2017,Urkiola,C022_Urkiola_2017_OCT,C022_Urkiola_2017_OCT,0,84.9,0.852602902,0.309591708,0.196137505,14,8,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8
18,8/8/2018 0:00,Abadiño,ABEJA,CONSTRUCCIÓN,8,10,"5,322,278,313","4,777,162,254",CERRADA - ELIMINADO,8/8/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2017,3027,AGO,2017,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0,86.9,0.935256722,0.367281276,0.192827396,19,11,74.5,2.6,20.6,16.7,16,30,21.2,11.9,6.8,52.2,29.4
19,7/8/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,12,30,"5,327,944,767","4,776,451,706",CERRADA - ELIMINADO,7/8/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,7,2017,2618,JUL,2017,Urkiola,C022_Urkiola_2017_JUL,C022_Urkiola_2017_JUL,0,86.3,0.949928658,0.36303303,0.189405996,19,11,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30
20,2/8/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,10,10,"532,468,038","4,779,169,747",CERRADA - NO ELIMINABLE,2/8/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,2,2017,573,FEB,2017,Urkiola,C022_Urkiola_2017_FEB,C022_Urkiola_2017_FEB,3,83,0.944826811,0.304045481,0.179970181,12,10,113.2,1.8,22.6,7.9,5.9,16.2,10.3,2.1,14.1,98.6,49.6
21,7/20/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,12,40,"5,322,340,342","4,776,818,139",CERRADA - ELIMINADO,7/20/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,7,2017,2618,JUL,2017,Urkiola,C022_Urkiola_2017_JUL,C022_Urkiola_2017_JUL,0,86.3,0.949928658,0.36303303,0.189405996,19,11,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30
22,7/20/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,6,60,"5,317,789,511","4,778,367,681",CERRADA - ELIMINADO,7/20/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,7,2017,2618,JUL,2017,Urkiola,C022_Urkiola_2017_JUL,C022_Urkiola_2017_JUL,0,86.3,0.949928658,0.36303303,0.189405996,19,11,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30
23,7/20/2018 0:00,Abadiño,ABEJA,CONSTRUCCIÓN,7,10,"5,316,147,071","4,779,305,375",CERRADA - ELIMINADO,7/20/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,7,2017,2618,JUL,2017,Urkiola,C022_Urkiola_2017_JUL,C022_Urkiola_2017_JUL,0,86.3,0.949928658,0.36303303,0.189405996,19,11,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30
24,5/30/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,6,30,"5,314,238,703","4,777,433,263",CERRADA - ELIMINADO,5/30/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,5,2018,1904,MAY,2018,Urkiola,C022_Urkiola_2018_MAY,C022_Urkiola_2018_MAY,0,91.6,0.919314117,0.308696201,0.192892509,19,16,116.6,3.6,18.3,13.2,10,21.6,14,6.4,6.4,57.2,30.2
25,7/6/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,2,10,"5,320,924,451","4777209,48",CERRADA - ELIMINADO,10/6/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,7,2018,2722,JUL,2018,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0,93.1,0.927074632,0.416514529,0.194795993,21,11,73.7,7.4,18.8,16.4,17,25.5,21.3,13.6,4.9,36.7,24
39,11/23/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,0,10,"5,048,516,711","4,790,413,449",CERRADA - ELIMINADO,11/23/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,11,2017,4254,NOV,2017,Urkiola,C022_Urkiola_2017_NOV,C022_Urkiola_2017_NOV,6,84.6,0.981296525,0.305559699,0.192551152,16,16,206.4,2.6,50.3,5.6,6.4,16.4,10,3.2,10.2,68.4,40.8
26,8/7/2019 0:00,Abadiño,AVISPA COMÚN,CONSTRUCCIÓN,1,2,"5,321,598,765","4,779,313,026",CERRADA - NO ELIMINABLE,9/7/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2018,3131,AGO,2018,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0,89.3,0.907256657,0.309321306,0.191946243,13,8,33,0.8,12.7,17.8,17,31.5,22,13,5.2,42.1,25.8
27,7/17/2019 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,10,30,"5,319,353,457","4,780,148,634",CERRADA - ELIMINADO,7/22/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,7,2018,2722,JUL,2018,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0,93.1,0.927074632,0.416514529,0.194795993,21,11,73.7,7.4,18.8,16.4,17,25.5,21.3,13.6,4.9,36.7,24
28,7/22/2019 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,1,10,"531,944,044","4,780,419,992",CERRADA - ELIMINADO,7/22/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,7,2018,2722,JUL,2018,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0,93.1,0.927074632,0.416514529,0.194795993,21,11,73.7,7.4,18.8,16.4,17,25.5,21.3,13.6,4.9,36.7,24
29,7/30/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,6,20,"5,321,732,799","4,775,351,385",CERRADA - ELIMINADO,2/8/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,7,2018,2722,JUL,2018,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0,93.1,0.927074632,0.416514529,0.194795993,21,11,73.7,7.4,18.8,16.4,17,25.5,21.3,13.6,4.9,36.7,24
30,6/8/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,6,20,"5,316,124,165","4,775,866,859",CERRADA - NO ELIMINABLE,6/8/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,6,2018,2313,JUN,2018,Urkiola,C022_Urkiola_2018_JUN,C022_Urkiola_2018_JUN,0,91.1,0.905732904,0.371786921,0.198000609,20,14,82.2,6.7,14,15.6,14.3,25.8,18.5,10.6,5.7,58.3,26.4
31,8/19/2019 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,12,60,"5,316,769,774","4779213,04",CERRADA - ELIMINADO,8/20/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2018,3131,AGO,2018,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0,89.3,0.907256657,0.309321306,0.191946243,13,8,33,0.8,12.7,17.8,17,31.5,22,13,5.2,42.1,25.8
32,8/20/2019 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,1,45,"5,321,670,682","4,779,269,165",CERRADA - ELIMINADO,8/21/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2018,3131,AGO,2018,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0,89.3,0.907256657,0.309321306,0.191946243,13,8,33,0.8,12.7,17.8,17,31.5,22,13,5.2,42.1,25.8
33,8/27/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,8,10,"5,321,667,159","4,775,349,208",CERRADA - ELIMINADO,8/28/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2018,3131,AGO,2018,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0,89.3,0.907256657,0.309321306,0.191946243,13,8,33,0.8,12.7,17.8,17,31.5,22,13,5.2,42.1,25.8
34,8/27/2019 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,16,80,"5,317,340,599","4,777,518,593",CERRADA - ELIMINADO,8/28/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2018,3131,AGO,2018,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0,89.3,0.907256657,0.309321306,0.191946243,13,8,33,0.8,12.7,17.8,17,31.5,22,13,5.2,42.1,25.8
35,6/9/2019 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,10,50,"5,320,914,914","4777002,77",CERRADA - ELIMINADO,9/9/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,6,2018,2313,JUN,2018,Urkiola,C022_Urkiola_2018_JUN,C022_Urkiola_2018_JUN,0,91.1,0.905732904,0.371786921,0.198000609,20,14,82.2,6.7,14,15.6,14.3,25.8,18.5,10.6,5.7,58.3,26.4
36,12/9/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,4,20,"5,308,267,943","4,779,782,069",CERRADA - ELIMINADO,9/13/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,12,2018,4767,DIC,2018,Urkiola,C022_Urkiola_2018_DIC,C022_Urkiola_2018_DIC,3,90,0.961030284,0.321621016,0.182263202,11,9,69.6,1.1,25.2,4.4,6.6,14.7,9.9,3.4,12.1,96.5,41.9
37,9/30/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,3,40,"5,324,409,042","4,778,406,321",CERRADA - ELIMINADO,1/10/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,9,2018,3540,SET,2018,Urkiola,C022_Urkiola_2018_SET,C022_Urkiola_2018_SET,0,87.4,0.817383387,0.306335255,0.204965362,9,6,38.1,1.9,13.6,15.5,16,28.9,21.8,11.9,6.5,60.5,27.8
38,11/11/2019 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,6,30,"5,325,018,514","4,778,296,808",CERRADA - ELIMINADO,11/13/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,11,2018,4358,NOV,2018,Urkiola,C022_Urkiola_2018_NOV,C022_Urkiola_2018_NOV,1,87.3,1.022237169,0.314229988,0.187375564,19,14,102.8,1.6,28.1,5.9,7.6,16.2,11,4.9,13.6,77,47.8
40,11/23/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,1,15,,,PENDIENTE DE GRUPO,,48001,160,0,0,0,0,0,0,0,C022,11,2017,4254,NOV,2017,Urkiola,C022_Urkiola_2017_NOV,C022_Urkiola_2017_NOV,6,84.6,0.981296525,0.305559699,0.192551152,16,16,206.4,2.6,50.3,5.6,6.4,16.4,10,3.2,10.2,68.4,40.8
41,10/29/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,6,5,"5,326,361,567","4,777,892,418",CERRADA - ELIMINADO,10/30/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,10,2017,3845,OCT,2017,Urkiola,C022_Urkiola_2017_OCT,C022_Urkiola_2017_OCT,0,84.9,0.852602902,0.309591708,0.196137505,14,8,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8
42,10/22/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,1,4,"531,864,816","4,777,647,466",CERRADA - ELIMINADO,10/23/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,10,2017,3845,OCT,2017,Urkiola,C022_Urkiola_2017_OCT,C022_Urkiola_2017_OCT,0,84.9,0.852602902,0.309591708,0.196137505,14,8,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8
43,10/17/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,10,40,"5,315,038,284","4,778,199,942",CERRADA - ELIMINADO,2/11/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,10,2017,3845,OCT,2017,Urkiola,C022_Urkiola_2017_OCT,C022_Urkiola_2017_OCT,0,84.9,0.852602902,0.309591708,0.196137505,14,8,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8
44,10/16/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,3,6,"5,314,771,459","4,779,163,031",CERRADA - ELIMINADO,10/19/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,10,2017,3845,OCT,2017,Urkiola,C022_Urkiola_2017_OCT,C022_Urkiola_2017_OCT,0,84.9,0.852602902,0.309591708,0.196137505,14,8,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8
45,9/27/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,1,20,"5,321,978,483","4,776,770,573",CERRADA - ELIMINADO,1/10/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,9,2017,3436,SET,2017,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0,88.6,0.910431623,0.328069798,0.201534399,16,12,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
46,9/20/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,4,50,"5,322,758,939","4,776,866,603",CERRADA - NO ELIMINABLE,9/20/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,9,2017,3436,SET,2017,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0,88.6,0.910431623,0.328069798,0.201534399,16,12,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
47,9/20/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,8,30,"5,315,382,341","4,778,244,112",CERRADA - NO ELIMINABLE,9/21/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,9,2017,3436,SET,2017,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0,88.6,0.910431623,0.328069798,0.201534399,16,12,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
48,9/20/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,1,30,"5,312,166,956","4,779,313,656",CERRADA - ELIMINADO,9/20/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,9,2017,3436,SET,2017,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0,88.6,0.910431623,0.328069798,0.201534399,16,12,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
49,9/20/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,2,25,"5,312,098,682","4778064,22",CERRADA - ELIMINADO,9/21/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,9,2017,3436,SET,2017,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0,88.6,0.910431623,0.328069798,0.201534399,16,12,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
50,9/18/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,1,10,,,CERRADA - ELIMINADO,9/18/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,9,2017,3436,SET,2017,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0,88.6,0.910431623,0.328069798,0.201534399,16,12,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
51,9/13/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,20,60,"5,325,324,613","4,778,573,442",CERRADA - ELIMINADO,9/14/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,9,2017,3436,SET,2017,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0,88.6,0.910431623,0.328069798,0.201534399,16,12,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
52,8/30/2018 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,0,15,"5,339,160,603","4,778,126,628",CERRADA - ELIMINADO,8/30/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2017,3027,AGO,2017,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0,86.9,0.935256722,0.367281276,0.192827396,19,11,74.5,2.6,20.6,16.7,16,30,21.2,11.9,6.8,52.2,29.4
53,8/30/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,20,5,"5,320,903,244","4,777,178,019",CERRADA - ELIMINADO,8/30/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2017,3027,AGO,2017,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0,86.9,0.935256722,0.367281276,0.192827396,19,11,74.5,2.6,20.6,16.7,16,30,21.2,11.9,6.8,52.2,29.4
54,8/30/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,3,30,"5,314,117,423","4,777,811,181",CERRADA - ELIMINADO,8/30/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2017,3027,AGO,2017,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0,86.9,0.935256722,0.367281276,0.192827396,19,11,74.5,2.6,20.6,16.7,16,30,21.2,11.9,6.8,52.2,29.4
55,8/23/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,1,20,"5,307,181,863","4,774,751,723",CERRADA - ELIMINADO,8/27/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2017,3027,AGO,2017,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0,86.9,0.935256722,0.367281276,0.192827396,19,11,74.5,2.6,20.6,16.7,16,30,21.2,11.9,6.8,52.2,29.4
56,8/22/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,5,20,"5,300,260,028","4,776,623,208",CERRADA - ELIMINADO,8/23/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2017,3027,AGO,2017,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0,86.9,0.935256722,0.367281276,0.192827396,19,11,74.5,2.6,20.6,16.7,16,30,21.2,11.9,6.8,52.2,29.4
57,8/20/2018 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,15,35,"532,162,671","4,777,708,946",CERRADA - ELIMINADO,8/21/2018 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2017,3027,AGO,2017,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0,86.9,0.935256722,0.367281276,0.192827396,19,11,74.5,2.6,20.6,16.7,16,30,21.2,11.9,6.8,52.2,29.4
