,COD.,ESTACION,cota (m),ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC,SUMA
74,C077,Andoain,52,0,1,0,0,0,0,0,0,0,0,0,2,3
75,C080,Añarbe,184,0,4,1,0,0,0,0,0,0,0,0,6,11
76,C0E8,Araxes,141,1,3,0,0,0,0,0,0,0,0,0,3,7
77,C023,Arrasate,318,4,7,2,1,0,0,0,0,0,0,2,5,21
78,C084,Behobia,5,0,1,0,0,0,0,0,0,0,0,0,1,2
79,C0EA,Belauntza,105,0,2,0,0,0,0,0,0,0,0,0,2,4
80,C026,Berastegi,379,3,5,4,1,0,0,0,0,0,0,1,7,21
81,C058,Bidania,592,1,7,4,0,0,0,0,0,0,0,1,1,14
82,C0F0,Ereñozu,25,0,1,0,0,0,0,0,0,0,0,0,2,3
83,C0E7,Estanda,195,1,3,1,0,0,0,0,0,0,0,0,3,8
84,C018,Higer,43,0,0,0,0,0,0,0,0,0,0,0,0,0
85,C0DC,Ibai Eder,90,0,1,0,0,0,0,0,0,0,0,0,2,3
86,C071,Jaizkibel,545,0,1,0,0,0,0,0,0,0,0,0,0,1
87,C0EC,Lasarte,18,0,1,0,0,0,0,0,0,0,0,0,1,2
88,C0DE,Matxinbenta,250,0,0,0,0,0,0,0,0,0,0,0,0,0
89,C017,Miramon,113,0,1,0,0,0,0,0,0,0,0,0,0,1
90,C0F4,Oiartzun,53,0,1,0,0,0,0,0,0,0,0,0,1,2
91,C0D1,Oñati,195,1,3,1,1,0,0,0,0,0,0,0,3,9
92,C043,Ordizia,243,0,1,0,0,0,0,0,0,0,0,0,2,3
93,C0D2,San Prudentzio,175,0,3,0,0,0,0,0,0,0,0,0,2,5
94,C007,Santa Clara,48,0,0,0,0,0,0,0,0,0,0,0,0,0
95,C0D0,Urkulu,340,2,2,1,0,0,0,0,0,0,0,0,4,9
96,C064,Zarautz,80,0,0,0,0,0,0,0,0,0,0,0,0,0
97,C028,Zegama,520,0,2,0,0,0,0,0,0,0,0,0,0,2
98,C029,Zizurkil,149,0,1,0,0,0,0,0,0,0,0,0,0,1
99,COD.,ESTACION,cota (m),ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC,SUMA
100,,,,,,,DÍAS DE HELADA,,,,,,,,,
