,HELBIDEA/DIRECCION
145,FACUNDO PEREZAGUA
146,"CALLE ANTONIO TRUEBA, 5"
147,SAN PEDRO
148,LA BALASTERA Nº 7
149,BARRIO EL CAMPILLO 8
150,KALEA CERRO 1C  
151,LUGAR BARRIO LAS CALIZAS 6  
152,LUGAR BARRIO LAS CALIZAS 6  
153,SOPEÑA Nº7
154,SOPEÑA
155,BO COTARRO 1
156,Bº/ TRIANO
157,LUGAR BARRIO RUBIAS 9E (48500)
158,LOREDO AUZOA 10 (48500)
159,"SAN PEDRO, 2"
160,EL CERRO KALEA 41 (48500)
161,COTORRIO 67
162,COTORRIO 67
163,EL MANZANAR AUZOA 1 (48540)
164,LUGAR BARRIO COTARRO 31A (48500)
165,SAN PEDRO AUZOA 14 (48540)
166,-48500
167,COTORRIO Nº 34
168,BARRIO EL CASAL Nº 66 (TRASERA)
169,LEKUA BARRIO PUTXETA 11002 (48500)
170,LUGAR BARRIO CAROLINAS 5G (48500)
171,SOPEÑA AUZOA 8 (48540)
172,ABANTO Y CIÉRVANA / ABANTO-ZIERBENA
173,EL CASAL Nº 6
174,SANTA JULIANA ABAJO
175,LUGAR BARRIO LOREDO 16E (48500)
176,LUGAR BARRIO ABANTO 1A (48500)
177,LUGAR BARRIO LA BARCENA 2Y (48500)
178,LUGAR BARRIO LOS LLANOS 15J (48500)
179,LUGAR BARRIO SOPEÑA 10R (48500)
180,SANTA JULINA CON EL VAO
181,SANTA JULINA 62
182,"MONTELLANO URBANIZAZIOA, ESPAÑA"
183,TRIANO
184,COTARRO 7
185,AVENIDA LOS CHOPOS Nº 83
186,URBANIZACIÓN MONTELLANO FRENTE Nº 8
187,LUGAR URBANIZACION MONTELLANO 7 (48500)
188,EL BAO
189,SAN LORENZO 7
190,LUGAR BARRIO SAN LORENZO 7C (48500)
191,AV MINERO 64
192,Bº LAS CORTES Nº2
193,BARRIO EL CASAL Nº 3
194,SANTA BARBARA ETXETALDEA 12 (48500)
195,BARRIO COTARRO SUBIDA AL PREVENTORIO DE EMPRESAS
196,MONTELLANO Nº30
197,MONTELLANO Nº30
198,BARRIO LOREDO Nº 30
199,BARRIO LA ANCHA
200,LA BALASTERA 21
201,LAS CALIZAS
202,CALLE EL CERRO
203,EL CASAL 
204,AVENIDA EL MINERO 68
205,CAMINO POZO GERENTE
206,BO EL CAMPILLO 42-Q
207,CARRETERA N-634 PK 129 DIRECCION BILBAO - SANTANDER 
208,N.634 PK 129
209,BARRIO LOREDO Nº 32-33
210,FACUNDO PEREZAGUA KALEA
211,"BARRIO COTORRIO, 38"
212,AV DE LOS CHOPOS 50
213,"CALLE COTARRO,3"
214,BARRIO CASTAÑOS (MERENDERO)
215,HEROS
216,"BARRIO EL MANZANAL, 1"
217,"COTARRO AUZOA 47, GALLARTA, ESPAÑA"
218,BARRIO LOREDO Nº30
219,LOREDO 29 (CASA)
220,LOREDO AUZOA
221,BARRIO SANTA JULIANA
222,LAS CALIZAS AUZOA Nº6
223,"AVENIDA EL MINERO Nº 62 C, PISO 1º B"
224,EL BAO AUZOA 2
225,PLAZA JUAN SACRISTAN Nº 8 SANFUENTES
226,AVENIDA EL MINERO Nº 5- 5º B IZQUIERDA 
227,BARRIO EL BAO Nº 2
228,BARRIO ABANTO Nº 6
229,BARRIO SOPEÑA
230,SAN PEDRO 4 D
231,AV. EL MINERO Nº 7
232,LAS CAROLINAS Nº 1
233,MÚSICO JUAN SACRISTAN Nº 7
234,FACUNDO PEREZAGUA  11
235,CL EL CERRO 49
236,BO CAMPO DIEGO 1
237,BO COTARRO 17
238,BO SANFUENTES 89-A
239,KANPANTXU 17
240,"URUBURU, MENDIETA 14"
241,MENDIETA AUZOA 55  
242,LUGAR BARRIO MENDIETA 6C  
243,LUGAR BARRIO KANPANTXU 36B  
244,MENDIETA AUZOA 57  
245,MALOSTE KALEA 17A  
246,LUGAR BARRIO KANPANTXU 4B  
247,LUGAR BARRIO MENDIETA 6C  
248,MENDIETA AUZOA 12  
249,KANPANTXU AUZOA 11  
250,SANTA CRUZ
251,KANPANTXU AUZOA 70  
252,KANPANTXU AUZOA 80  
253,LUGAR BARRIO KANPANTXU 1B  
254,MENDIETA AUZOA 10 (48320)
255,KANPANTXU AUZOA 5 (48320)
256,MENDIETA AUZOA 60 (48320)
257,MENDIETA AUZOA 72 (48320)
258,MENDIETA AUZOA 46 (48320)
259,"KANPANTXU 29, LEZAMENE"
260,KALEA MALOSTE 17A (48320)
261,MENDIETA AUZOA 16 (48320)
262,"MENDIETA 52, SAGARTZOLA"
263,"MENDIETA 15, MIMENTZA"
264,"KANPANTXU 1, ARANDIA"
265,MENDIETA 48 
266,MENDIETA 44 GORGANA
267,KANPANTXU 56 ESK.ATOBIETA GOIKOA
268,KANPANTXU 68 GARTOKI
269,LUGAR BARRIO KANPANTXU 68C (48320)
270,LUGAR BARRIO KANPANTXU 68C (48320)
271,KANPANTXU 38
272,MENDIETA AUZOA 52 (48320)
273,BO MENDIETA 73-A
274,"ALDANA AUZOA, 12"
275,ARBUIO KALEA 5  
276,AZORDOIAGA AUZOA 1 (48810)
277,AZORDOIAGA
278,COLEGIO PUBLICO ALONSOTEGI
279,PLAZA DE LAS ESCUELAS Nº2
280,LASAO
281,LASAO KALEA 34  
282,ARBUIO KALEA 12  
283,AZORDOIAGA
284,   
285,ARBUIO KALEA 3  
286,LOIBE
287,ARBUIO 
288,SASIA 20
289,SAN ANTOLIN
290,LUGAR BARRIO ALDANA 4B  
291,AZORDOIAGA AUZOA 4  
292,LUGAR BARRIO ALDANA 10BIS  
293,LUGAR BARRIO ALDANA 10BIS  
294,KALEA BAZTEITA 26002  
295,ZAMUNDI
296,CALLE KOSKOJALES
297,AZORDOIAGA
298,"SASIA, 1"
299,LASAO KALEA 40 (48810)
300,SASIA AUZOA 7 (48810)
301,GARAIOLTZA
302,KALEA ULARKI 5 (48810)
303,RIO KADAGUA
304,"SAN MARTIN, 14"
305,FRONTON MUNICIPAL
306,COLEGIO PUBLICO ALONSOTEGI
307,"SAN MARTIN, 14"
308,FRONTON MUNICIPAL
309,CAMINO AZORDOIAGA A ARTIBA
310,BARRIO SASIA
311,BARRIO EL SOMO
312,LUGAR BARRIO SAN MARTIN 14BIS (48810)
313,SAN MARTIN Nº14
314,ALDANA
315,TORREGOIKO 
316,ALDANONDO
317,ULARKI
318,ULARKI
319,BARRIO SASIA
320,BARRIO SASIA
321,BO AZORDOIAGA 7
322,BO AZORDOIAGA 3
323,CL KOSKOJALES 14
324,BO ARBUIO 44
325,BO ARBUIO 44
326,ARETXALDE GOIKOA 10
327,BO SAN ANTONIO ELGEZABAL 7
328,ARETXALDE GOIKOA 4
329,LUGAR BARRIO BERNABEITIA 11C  
330,JAUREGIZAHAR 10 5ºC
331,AITA ROMAN URTIAGA KALEA 11  
332,MONTORRA
333,ENRIKE RENTERIA PASEALEKUA
334,"ARREIBIONDO ETORBIDEA 2, 1 A"
335,"ARREIBIONDO ETORBIDEA 14, 4º A"
336,"P.I. ZUBIETA,3"
337,URRITXE KALEA 12  
338,ENRIKE RENTERIA 10 3B 
339,URRITXE
340,ARRAIBIONDO ETORBIDEA 12
341,GREGORIO MENDIBIL 12 3-A
342,SAN MIGUEL DE DUDEA 13
343,SAN BARTOLOME
344,ALTAMIRA 2
345,"SANTIAGO ONAINDIA 3B,3ºB"
346,"SAN MIGUEL KALEA, 20"
347,DUDEA 8C
348,AITA ROMAN URTIAGA 30
349,BO BERNABEITIA 10
350,SAN MIGUEL DE DUDEA
351,POLIGONO BOROA
352,LARRA AUZOA 6  
353,SAN MIGUEL DE DUDEA
354,PLAZA KALBARIO 4
355,SAN MIGUEL DE DUDEA
356,SARATZU Nº1
357,AUTZAGANE
358,SARATZU
359,ASTEPE
360,IZER Nº20
361,ENARTZE Nº6
362,BERNAGOITI
363,MARIELARREGOIKOA
364,BEDIGA Nº1
365,ALAKAO Nº 2
366,ARNABATE
367,"MONTORRA, 1"
368,"SAN MIGUEL DE DUDEA, 21"
369,URRITXE KALEA 18 (48340)
370,ERGOIEN ZBK16 
371,BO GISETZA 12-A
372,SAN BARTOLOME  16
373,ERKOLES
374,ANDRANDI
375,URRITXE KALEA
376,ZUBIZABALA 6-5 ESK
377,KALEA IZAR BEKO 15A (48340)
378,IZAR BEKO
379,LARREA ESKOLA
380,ZUBIPUNTE TALDE ETXETALDEA
381,"GISETZA KALEA, 11"
382,UGARTE BIDEA 47
383,JUAN XXIII Nº 4 1ºA
384,ALTZIBARRA AUZOA Nº1
385,KATIA AUZOA
386,IZER PARKING
387,DUDEA AUZOA
388,IBARGUREN
389,SAN MIGUEL DE DUDEA Nº 13
390,"POLIGONO VALET, SAN PEDRO 43"
391,Bº DUDAGOITIA Nº 8
392,BOROA JATETXEA
393,AUTZAGANE AUZOA 1  
394,"BERNABEITIA, 10"
395,BERNAGOITIA  
396,BERNA
397,SAN MIGUEL 
398,ALTAMIRA 1
399,"Bº BOROA, N-634, P.K. 94,000"
400,GARITANDO Nº 3
401,JAUREGIZAHAR AUZOA 7  
402,ARRINDA
403,GARITONDO AUZOA
404,"SANTA ANA, 7"
405,BARRIO OGENA Nº5
406,ASTEPE POLIGONO
407,"ZUBIPUNTE, 34"
408,GARAITONDO AUZOA
409,"JAUREGIZAHAR Nº 16, 5C"
410,"SAN JUAN 26, 5ºC-IZDA"
411,GUDARI 33
412,BARRIO OROMIÑO
413,"OROMIÑO, 4"
414,DUDAGOITIA 3
415,SANTIAGO ONANINDIA Nº8
416,SAN MIGUEL DE DUDEA
417,   
418,BETARRAGANE
419,BETARRAGANE
420,URRITXE
421,LUGAR BARRIO ARRAIBI 2B  
422,POL. BOROA
423,BOROA Nº 20
424,BOROA 35
425,LUGAR BARRIO EUBA 25  
426,ARANOTZA AUZOA 
427,EUBA AUZOA
428,EUBA
429,EPALTZA AUZOA 5  
430,BARRIO ANDRANDI
431,KARMEN KALEA 28SEX  
432,SAN MIGUEL DUDEA
433,URRITXE
434,BOROA
435,TXOSNA
436,BERNAGOITIA 11-A
437,SABINO ARANA KALEA
438,BO MARKES ARESTI 5
439,ARAZOTZA Nº4
440,JAUREGIBARRIA ZELAIA  (48340)
441,YURRETA
442,LUGAR BARRIO SAN BARTOLOME 4BIS (48340)
443,LUGAR BARRIO SAN BARTOLOME 4BIS (48340)
444,BARRIO SAN ANTONIO ELGUEZABAL 27 (48290)
445,DUDEA AUZOA 13 (48340)
446,GISETZA KALEA 12 (48340)
447,"Bº EUBA, Nº 36"
448,ARASOSAS
449,ELEIZKALE
450,OROMIÑO AUZOA 19 (48340)
451,AREZTI
452,IZEDU
453,LUGAR BARRIO MONTORRA 3D (48340)
454,"S. MIGUEL DE DUDEA, 17"
455,SANTA LUCIA
456,"SAN BARTOLOME, 5"
457,LUGAR BARRIO EUBA 37B (48340)
458,SAN ANTONIO ELGEZABAL AUZOA
459,SAN PEDRO BOROA
460,"ARRINDAS, 11"
461,LUGAR BARRIO DUDEA 8DUP (48340)
462,GUDARI
463,SAN ANTONIO ELGEZABAL AUZOA
464,RESTAURANTE AUTZAGANE
465,SANTA LUZIA
466,LUGAR BARRIO SAN BARTOLOME 18A (48340)
467,ASTEPE 
468,"SABINO ARANA KALEA, 28"
469,"LA TEJERA, 4 (AURREZ AURRE)"
470,"LA TEJERA, 1"
471,"SAN MIGUEL DUDEA, 30"
472,"SAN PEDRO DE BOROA, Nº 3"
473,ERMITA DE SAN PEDRO DE BOROA
474,SAN ANTONIO ELGEZABAL
475,SAN ANTONIO ELGEZABAL AUZOA
476,ERMITA DE SAN PEDRO DE BOROA
477,ERMITA DE SAN PEDRO DE BOROA
478,TANTORTA S/N
479,ALTZIBAR Nº3
480,"LEGARREBI Nº3, 3º"
481,JAUREGIBARRIA 
482,EUBA
483,KATIA
484,URRITXE Z/G
485,BETARRAGANE ZG
486,ASTEPE
487,"LARREA , 5"
488,"GUMUZIO,11"
489,SAN JUAN 26
490,XABINO ARANA 28
491,ENRIQUE RENTERIA
492,"MARABI, 31"
493,C/TXIKI OTAEGI Nº20 4-D
494,LUGAR BARRIO OGUENA 5CUA (48340)
495,BARRIO SAN ANTONIO ELGUEZABAL 36 (48290)
496,LUGAR BARRIO ASTEPE 7D (48340)
497,LUGAR BARRIO BOROA 15Q (48340)
498,ARRIAGANE POLIGONOA
499,SAN MIGUEL DUDEA 12
500,"GANE, 3-2º"
501,Bº GANE
502,BEDIAGA
503,CASERIO PALACIOS Nº 11
504,BO JAUREGIBARRIA PARKEA
505,SAN JUAN Nº22 6C
506,SANTA LUZIA AUZOA
507,BOROA
508,ZAMALLOA AUSOA
509,MONTORRA
510,URRITXE
511,Bº MONTORRA S/N BAJO LONJA
512,AITA ROMAN URTIAGA 16A
513,SAN ANTONIO 11
514,TXOLON
515,SAN ANTONIO 11
516,SAN MIGUEL 11-6A
517,BEDIAGA 2 
518,BOROA
519,SAN JUAN 26
520,EPALTZA AUZOA
521,GUMUZIO 29
522,N-634
523,SAN MIGUEL DUDEA 17
524,ERGOIEN AUZOA
525,AITA ROMAN URTIAGA Nº18
526,"BERNAGOITIA, 14"
527,POL. IND. INBISA
528,PG. ARREGI
529,"BIDEAUR 4, 6ºB"
530,POL. IND. BOROA
531,ARRIAGANE LEONARDO AIZPIRI
532,Bº TANTORTA
533,BERNABEITIA Nº11
534,AVENIDA LUIS URRENGOETXEA 30 (48340)
535,IZER
536,LUGAR BARRIO BOROA 8005 (48340)
537,BO ENARTZE 4
538,"LUIS URRENGOETXEA HIRIBIDEA, 11"
539,IXER KALEA 23 (48340)
540,"LUIS URRENGOETXEA HIRIBIDEA, 11"
541,LUGAR BARRIO BOROA 12 (48340)
542,URRITXE KALEA 14 (48340)
543,"ARRINDA AUZOA, 11"
544,Bº ARRINDA
545,KANBIO
546,SARATZU AUZOA
547,"KIMERA AMOREBIETA-ECHANO, ESPAÑA"
548,BO MARKES ARESTI 5
549,"GUDARI, 3-6"
550,BERNAGOITIA
551,NAFARROA KALEA
552,JAUREGIBARRIA ETORB.  (48340)
553,LUGAR BARRIO SANTA LUZIA LEGINETXE 7002 (48340)
554,DUDEA
555,DUDEA
556,ARETXALDE GOIKOA 8
557,ARETXALDE GOIKOA 8
558,AV LUIS URRENGOETXEA 17
559,CL IZAR BEKO 4
560,CL IZAR BEKO 6
561,ODIAGA AUZOA 6
562,LUGAR BARRIO ODIAGA 10002  
563,CALLE JUAN AJURIAGUERRA KALEA 8  
564,BARRIO ELEXALDE 30  
565,ELEIZALDE 1
566,ELEXALDE AUZOA 42. OTALARRA
567,BARRIO ELEIZALDE
568,ODIAGA AUZOA 26 ERREKA BASERRIA
569,URRUTIA AUZOA 20
570,BO UGARAN 5-B
571,BO ELEXALDE 5
572,BARRIO MARARIAGA
573,BARRIO LA ISLA
574,BARRIO MADARIAGA
575,USILARRA
576,CAMINO DE SAÑO
577,"BARRIO PETXABI, 2"
578,AUTOPISTA AP68 12+000 SENTIDO BILBAO
579,"AREA SERVICIO EN ARAKALDO, DIRECCIÓN BILBAO"
580,"GOIKIRI, 1"
581,MADARIAGA AUZOA 6 (48498)
582,ZELAIA
583,ZELAIA AUZOA AUZOA 28  
584,"ZELAIA, 10-1º IZDA"
585,ZELAIA AUZOA AUZOA 38  
586,CL EUSKAL HERRIA 7
587,ZALBIDE Nº5
588,ZALBIDE
589,ZELAIA AUZOA S/Nº
590,"ZELAIA AUZOA, 39"
591,GOIRI-RE BIDEAN
592,GOIRI-RE BIDEAN
593,ARANTZAZUGOITI 4
594,"ZELAIA, 24-B"
595,"ZELAIA, 37"
596,BARRIO ARANTZAZUGOITI 
597,Bº MARTXONDI BEKOA 4
598,ITURRIMORRO AUZOA 2  
599,ASKATASUN KALEA 1D  
600,ASKATASUN 48-50
601,ITURRIMAUR PASEALEKUA 11
602,ASKATASUN KALEA 52  
603,ASKATASUN 31
604," ITURRIMORRO AUZOA,  10"
605,BITERI AUZOA
606,ATXABALA AUZOA
607,ASTERRIA AUZOA
608,ELORRIBI
609,BITERI AUZOA
610,LUGAR BARRIO KARPO 2  
611,KARPO 2
612,BARRIO ITURRIMORRO
613,ASKATASUN KALEA 1H (48143)
614,ASTERRIA AUZOA Nº 4
615,ASKATASUN KALEA Nº32
616,ASKATASUN KALEA 32
617,ASKATASUN KALEA 37
618,BARRIO BITERI Nº2
619,LAUNTZAIN 2
620,ASKATASUN KALEA 1
621,BO ITURRIMORRO 
622,BARRIO GARONDO 18
623,BARRIO GARONDO
624,BARRIO 
625,ARRANCUDIAGA
626,BARRIO
627,BARRIO GOITZAGA 8
628,BARRIO BASAKOETXE
629,POLÍGONO INDUSTRIAL DE BAKIOLA POL. 34  
630,OTXANDURI AUZOA 8  
631,SAN PEDRO
632,GASTAKA-BEKOA 1
633,BARRIO BESKOETXE
634,BARRIO ARENE 6
635,ARRANCUDIAGA
636,Bº OTXANDURI
637,BARRIO GARONDO
638,ZABALE AUZOA
639,BARRIO ARBIDE
640,BARRIO ATXANDI
641,POLIGONO BAKIOLA
642,ZOLLO-URRUTI AUZOA
643,BARRIO LABEKO
644,LABEKO AUZOA
645,ZOLLO-ELEXALDE
646,ZOLLO-URRUTI
647,SAN PEDRO
648,BARRIO SAN PEDRO
649,BARRIO URIBARRI 12
650,BARRIO ATXETA
651,OTXANDURI 6
652,LABEKO
653,ZOLLO-URRUTI 2
654,ELEXALDE 20
655,LABEKO S/N
656,Bº USTARA
657,BARRIO LANDABERDE
658,BARRIO 
659,BARRIO 
660,ARRANCUDIAGA
661,BARRIO ZOLLO-URRUTI
662,BARRIO OSANZAR 6
663,BARRIO ARBIDE 3
664,BARRIO ARBIDE 4
665,BARRIO OTXANDURI 9
666,BARRAIO IBERLANDA
667,IBERLANDA AUZOA 1 (48498)
668,IBERLANDA
669,URIBARRI ARRANKUDIAGA
670,ELEXALDE 27
671,BARRIO URIBARRI 15
672,BARRIO GARONDO 18
673,Bº ARBIDE 4
674,ZOLLO-URRUTI 4
675,ARRANCUDIAGA
676,ARRANCUDIAGA
677,BO URIBARRI 
678,BO IBERLANDA 
679,UARKA AUZOA AUZOA 4B  
680,BARRUTIA 7
681,LUGAR BARRIO BARRUTIA 16B  
682,BELENDIZ Nº 1.   TORRE
683,LUGAR BARRIO BARRUTIA 4  
684,BARRUTIA AUZOA AUZOA 11  
685,BARRUTIA AUZOA AUZOA 11  
686,BARRUTIA AUZOA AUZOA 16  
687,LOIOLA Nº 9
688,UARKA AUZOA AUZOA 17  
689,ZUBIATE AUZOA AUZOA 2  
690,BARROETA AUZOA AUZOA 9  
691,ELEIZALDE AUZOA AUZOA 5  
692,UARKA AUZOA AUZOA 6 (48383)
693,ZABALA-BELENDIZ AUZOA 29 (48391)
694,GOROZIKA 16
695,GOROZIKA 16
696,ZUBIATE AUZOA AUZOA 13 (48383)
697,BELENDIZ Nº5 -BIS
698,UHARKA Nº13
699,BARRUTIA Nº11
700,LOIOLA  Nº19
701,BARRUTIA Nº 13
702,BARRUTIA 19
703,UARKA Nº 4
704,GEREKA AUZOA 44
705,LEKUA BARRIO LIBAO 24DUP  
706,"GOIRI AUZOA 37, CASERIO MUGURU"
707,LARETXEBARRI AUZOA 53 IZ
708,MENDIGUREN AUZOA 57 B
709,LIBAO AUZOA 12
710,BARRIO MENDIGUREN 58 B
711,OTAZU AUZOA
712,BARRIO MADARIAGA 45 B GOIKOETXE
713,GOIRI AUZOA 29-ASTUENE
714,SAMESE/ZAMEZA AUZOA 52 B
715,MADARIAGA 45 B-GOIKOETXE
716,"AGIRRE AUZOA 15 A, EZK"
717,"KORNABIZ 15, CASERÍO BIDETXE"
718,SAMESE AUZOA 52
719,OXIÑAGA AUZOA
720,OXIÑAGA AUZOA 76
721,JAINKO AUZOA 
722,BARRIO OTAZU 13
723,BARRIO OTAZU 12
724,MADARIAGA AUZOA 45 B
725,CL EUSKAL HERRIA 5
726,BARRIO OXIÑAGA S/N
727,GOIRI AUZOA 36
728,OLATXU AUZOA 12
729,GOIRI AUZOA 29
730,"GEREKA AUZOA 43 C, DRC"
731,BARRIO BAIENETA 8
732,BARRIO OTAZU
733,LANDAGUREN AUZOA 31
734,BARRIO LANDAGUREN 31 IZDA
735,LEKUA BARRIO LIBAO 30A (48114)
736,GOIRI AUZOA 38A (48114)
737,BO AGIRRE 4
738,EL PROGRESO KALEA 6
739,EL PROGRESO KALEA 2 (48003)
740,BERETZA AUZOA 5 (48480)
741,ATXUKARRO Nº6 6ºB
742,"AIXARTE HIRIBIDEA, 11"
743,LUGAR BARRIO MARTIARTU 13  
744,LARRASKO 4C
745,BUIA ERREPIDEA 63  
746,AIXARTE AVDA. 6  
747,BERETZA
748,VENTA ALTA 1A
749,MENDIKOSOLO SN
750,"DR. FLEMING, 8"
751,"CALLE/ GERNIKA,56"
752,P.K. 2+200 DE LA AP-68 SENTIDO BILBAO 
753,ARRIGORRIAGA
754,AIXARTE HIRIBIDEA 1 (48480)
755,JOSE MARIA MAKUA KALEA 51 (48480)
756,LANBARKETA KALEA 32 (48480)
757,IHARRAREN ENPARANTZA 1 (48003)
758,BARRENA KALEA 18 (48480)
759,JOSE MARIA MAKUA KALEA 39 (48480)
760,ABRISQUETA KALEA 2 (48480)
761,PRDRO MURO 13-14
762,CONSORCIO DE AGUAS BILBAO BIZKAIA
763,CONSORCIO DE AGUAS BILBAO BIZKAIA
764,LUGAR BARRIO VENTA ALTA 1A (48480)
765,ATXUKARRO Nº 4
766,LUGAR BARRIO VENTA ALTA 1A (48480)
767,ESTACIÓN TREN OLLARGAN
768,BO MARTIARTU 5
769,BO SALUD E HIGIENE 31
770,BO IZARZA 2
771,CL SEVERO OCHOA 41
772,CL PEDRO MURO 19
773,CL LONBO 23
774,BO IZARZA 2
775,"IBARRETXE, 5"
776,HERRIKO PLAZA 28C DERECHA
777,HERRIKO PLAZA
778,UGARTE AUZOA 17 (48142)
779,HERRIKO PLAZA 37 (48142)
780,"GARAI,4"
781,BARRIO GARAI
782,ASTUI 7
783,"ASTUI BEKOA, 24"
784,"ERROTABARRI, 1"
785,MENDIETA 
786,"ASTUI,7"
787,"ASTUI, 7C"
788,POLIGONO INDUSTRIALDEA B2
789,ASTUI
790,HERRIKO PLAZA 39
791,"IBARRETXE, 2"
792,ASTUI 11
793,PLAZA HERRIKO 44C (48142)
794,YARZA AUZOA 7 (48142)
795,BI-3530 3 (48142)
796,BARRIO SAN MARTÍN 1 (48142)
797,HERRIKO PLAZA 1 (48142)
