waspbust_id,year_x,nest_foundDate,municip_name,species,nest_locType,nest_hight,nest_diameter,nest_longitude,nest_latitude,nest_status,nest_judgementDate,municip_code,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,month,year_offset,index,MMM,year_y,station_name,code_merge,merge_cod,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind
20,2018,2018-02-08 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,10.0,"532468,038","4779169,747",Cannot Terminate,2018-02-08 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,2,2017,573.0,FEB,2017.0,Urkiola,C022_Urkiola_2017_FEB,C022_Urkiola_2017_FEB,3.0,83.0,0.944826811,0.304045481,0.179970181,12.0,10.0,113.2,1.8,22.6,7.9,5.9,16.2,10.3,2.1,14.1,98.6,49.6
21,2018,2018-07-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,12.0,40.0,"532234,0342","4776818,139",Nest Terminated,2018-07-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2017,2618.0,JUL,2017.0,Urkiola,C022_Urkiola_2017_JUL,C022_Urkiola_2017_JUL,0.0,86.3,0.9499286579999999,0.36303303,0.18940599600000002,19.0,11.0,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30.0
22,2018,2018-07-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,6.0,60.0,"531778,9511","4778367,681",Nest Terminated,2018-07-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2017,2618.0,JUL,2017.0,Urkiola,C022_Urkiola_2017_JUL,C022_Urkiola_2017_JUL,0.0,86.3,0.9499286579999999,0.36303303,0.18940599600000002,19.0,11.0,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30.0
23,2018,2018-07-20 00:00:00,Abadiño,Wild Bee,Urban Environment,7.0,10.0,"531614,7071","4779305,375",Nest Terminated,2018-07-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2017,2618.0,JUL,2017.0,Urkiola,C022_Urkiola_2017_JUL,C022_Urkiola_2017_JUL,0.0,86.3,0.9499286579999999,0.36303303,0.18940599600000002,19.0,11.0,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30.0
24,2019,2019-05-30 00:00:00,Abadiño,Vespa Velutina,Urban Environment,6.0,30.0,"531423,8703","4777433,263",Nest Terminated,2019-05-30 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,5,2018,1904.0,MAY,2018.0,Urkiola,C022_Urkiola_2018_MAY,C022_Urkiola_2018_MAY,0.0,91.6,0.919314117,0.308696201,0.192892509,19.0,16.0,116.6,3.6,18.3,13.2,10.0,21.6,14.0,6.4,6.4,57.2,30.2
25,2019,2019-07-06 00:00:00,Abadiño,Vespa Velutina,Urban Environment,2.0,10.0,"532092,4451","4777209,48",Nest Terminated,2019-10-06 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,2018.0,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0.0,93.1,0.9270746320000001,0.41651452899999997,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0
39,2018,2018-11-23 00:00:00,Abadiño,Vespa Velutina,Natural Environment,0.0,10.0,"504851,6711","4790413,449",Nest Terminated,2018-11-23 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,11,2017,4254.0,NOV,2017.0,Urkiola,C022_Urkiola_2017_NOV,C022_Urkiola_2017_NOV,6.0,84.6,0.981296525,0.30555969899999996,0.192551152,16.0,16.0,206.4,2.6,50.3,5.6,6.4,16.4,10.0,3.2,10.2,68.4,40.8
26,2019,2019-08-07 00:00:00,Abadiño,Common Wasp,Urban Environment,1.0,2.0,"532159,8765","4779313,026",Cannot Terminate,2019-09-07 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,2018.0,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0.0,89.3,0.907256657,0.309321306,0.19194624300000002,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8
27,2019,2019-07-17 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,30.0,"531935,3457","4780148,634",Nest Terminated,2019-07-22 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,2018.0,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0.0,93.1,0.9270746320000001,0.41651452899999997,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0
28,2019,2019-07-22 00:00:00,Abadiño,Vespa Velutina,Natural Environment,1.0,10.0,"531944,044","4780419,992",Nest Terminated,2019-07-22 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,2018.0,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0.0,93.1,0.9270746320000001,0.41651452899999997,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0
29,2019,2019-07-30 00:00:00,Abadiño,Vespa Velutina,Urban Environment,6.0,20.0,"532173,2799","4775351,385",Nest Terminated,2019-02-08 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,2018.0,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0.0,93.1,0.9270746320000001,0.41651452899999997,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0
30,2019,2019-06-08 00:00:00,Abadiño,Vespa Velutina,Urban Environment,6.0,20.0,"531612,4165","4775866,859",Cannot Terminate,2019-06-08 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,6,2018,2313.0,JUN,2018.0,Urkiola,C022_Urkiola_2018_JUN,C022_Urkiola_2018_JUN,0.0,91.1,0.9057329040000001,0.371786921,0.198000609,20.0,14.0,82.2,6.7,14.0,15.6,14.3,25.8,18.5,10.6,5.7,58.3,26.4
31,2019,2019-08-19 00:00:00,Abadiño,Vespa Velutina,Natural Environment,12.0,60.0,"531676,9774","4779213,04",Nest Terminated,2019-08-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,2018.0,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0.0,89.3,0.907256657,0.309321306,0.19194624300000002,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8
32,2019,2019-08-20 00:00:00,Abadiño,Vespa Velutina,Natural Environment,1.0,45.0,"532167,0682","4779269,165",Nest Terminated,2019-08-21 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,2018.0,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0.0,89.3,0.907256657,0.309321306,0.19194624300000002,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8
33,2019,2019-08-27 00:00:00,Abadiño,Vespa Velutina,Urban Environment,8.0,10.0,"532166,7159","4775349,208",Nest Terminated,2019-08-28 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,2018.0,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0.0,89.3,0.907256657,0.309321306,0.19194624300000002,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8
34,2019,2019-08-27 00:00:00,Abadiño,Vespa Velutina,Natural Environment,16.0,80.0,"531734,0599","4777518,593",Nest Terminated,2019-08-28 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,2018.0,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0.0,89.3,0.907256657,0.309321306,0.19194624300000002,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8
35,2019,2019-06-09 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,50.0,"532091,4914","4777002,77",Nest Terminated,2019-09-09 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,6,2018,2313.0,JUN,2018.0,Urkiola,C022_Urkiola_2018_JUN,C022_Urkiola_2018_JUN,0.0,91.1,0.9057329040000001,0.371786921,0.198000609,20.0,14.0,82.2,6.7,14.0,15.6,14.3,25.8,18.5,10.6,5.7,58.3,26.4
36,2019,2019-12-09 00:00:00,Abadiño,Vespa Velutina,Urban Environment,4.0,20.0,"530826,7943","4779782,069",Nest Terminated,2019-09-13 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,12,2018,4767.0,DIC,2018.0,Urkiola,C022_Urkiola_2018_DIC,C022_Urkiola_2018_DIC,3.0,90.0,0.961030284,0.32162101600000004,0.18226320199999999,11.0,9.0,69.6,1.1,25.2,4.4,6.6,14.7,9.9,3.4,12.1,96.5,41.9
37,2019,2019-09-30 00:00:00,Abadiño,Vespa Velutina,Urban Environment,3.0,40.0,"532440,9042","4778406,321",Nest Terminated,2019-01-10 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2018,3540.0,SET,2018.0,Urkiola,C022_Urkiola_2018_SET,C022_Urkiola_2018_SET,0.0,87.4,0.817383387,0.306335255,0.20496536199999998,9.0,6.0,38.1,1.9,13.6,15.5,16.0,28.9,21.8,11.9,6.5,60.5,27.8
38,2019,2019-11-11 00:00:00,Abadiño,Vespa Velutina,Natural Environment,6.0,30.0,"532501,8514","4778296,808",Nest Terminated,2019-11-13 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,11,2018,4358.0,NOV,2018.0,Urkiola,C022_Urkiola_2018_NOV,C022_Urkiola_2018_NOV,1.0,87.3,1.022237169,0.314229988,0.187375564,19.0,14.0,102.8,1.6,28.1,5.9,7.6,16.2,11.0,4.9,13.6,77.0,47.8
40,2018,2018-11-23 00:00:00,Abadiño,Vespa Velutina,Natural Environment,1.0,15.0,,,Pending classification,,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,11,2017,4254.0,NOV,2017.0,Urkiola,C022_Urkiola_2017_NOV,C022_Urkiola_2017_NOV,6.0,84.6,0.981296525,0.30555969899999996,0.192551152,16.0,16.0,206.4,2.6,50.3,5.6,6.4,16.4,10.0,3.2,10.2,68.4,40.8
41,2018,2018-10-29 00:00:00,Abadiño,Vespa Velutina,Natural Environment,6.0,5.0,"532636,1567","4777892,418",Nest Terminated,2018-10-30 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2017,3845.0,OCT,2017.0,Urkiola,C022_Urkiola_2017_OCT,C022_Urkiola_2017_OCT,0.0,84.9,0.852602902,0.309591708,0.196137505,14.0,8.0,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8
42,2018,2018-10-22 00:00:00,Abadiño,Vespa Velutina,Natural Environment,1.0,4.0,"531864,816","4777647,466",Nest Terminated,2018-10-23 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2017,3845.0,OCT,2017.0,Urkiola,C022_Urkiola_2017_OCT,C022_Urkiola_2017_OCT,0.0,84.9,0.852602902,0.309591708,0.196137505,14.0,8.0,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8
43,2018,2018-10-17 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,40.0,"531503,8284","4778199,942",Nest Terminated,2018-02-11 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2017,3845.0,OCT,2017.0,Urkiola,C022_Urkiola_2017_OCT,C022_Urkiola_2017_OCT,0.0,84.9,0.852602902,0.309591708,0.196137505,14.0,8.0,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8
44,2018,2018-10-16 00:00:00,Abadiño,Vespa Velutina,Urban Environment,3.0,6.0,"531477,1459","4779163,031",Nest Terminated,2018-10-19 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2017,3845.0,OCT,2017.0,Urkiola,C022_Urkiola_2017_OCT,C022_Urkiola_2017_OCT,0.0,84.9,0.852602902,0.309591708,0.196137505,14.0,8.0,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8
45,2018,2018-09-27 00:00:00,Abadiño,Vespa Velutina,Natural Environment,1.0,20.0,"532197,8483","4776770,573",Nest Terminated,2018-01-10 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,2017.0,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0.0,88.6,0.910431623,0.328069798,0.20153439899999998,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
46,2018,2018-09-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,4.0,50.0,"532275,8939","4776866,603",Cannot Terminate,2018-09-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,2017.0,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0.0,88.6,0.910431623,0.328069798,0.20153439899999998,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
47,2018,2018-09-20 00:00:00,Abadiño,Vespa Velutina,Natural Environment,8.0,30.0,"531538,2341","4778244,112",Cannot Terminate,2018-09-21 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,2017.0,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0.0,88.6,0.910431623,0.328069798,0.20153439899999998,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
48,2018,2018-09-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,1.0,30.0,"531216,6956","4779313,656",Nest Terminated,2018-09-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,2017.0,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0.0,88.6,0.910431623,0.328069798,0.20153439899999998,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
49,2018,2018-09-20 00:00:00,Abadiño,Vespa Velutina,Natural Environment,2.0,25.0,"531209,8682","4778064,22",Nest Terminated,2018-09-21 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,2017.0,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0.0,88.6,0.910431623,0.328069798,0.20153439899999998,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
50,2018,2018-09-18 00:00:00,Abadiño,Vespa Velutina,Urban Environment,1.0,10.0,,,Nest Terminated,2018-09-18 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,2017.0,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0.0,88.6,0.910431623,0.328069798,0.20153439899999998,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
51,2018,2018-09-13 00:00:00,Abadiño,Vespa Velutina,Urban Environment,20.0,60.0,"532532,4613","4778573,442",Nest Terminated,2018-09-14 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,2017.0,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0.0,88.6,0.910431623,0.328069798,0.20153439899999998,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
