municipalities,muni_code,year,population
48041 Gautegiz Arteaga,48041,2017,847
48046 Gernika-Lumo,48046,2018,16972
48046 Gernika-Lumo,48046,2017,16915
48044 Getxo,48044,2018,78276
48044 Getxo,48044,2017,78406
48047 Gizaburuaga,48047,2018,212
48047 Gizaburuaga,48047,2017,209
48042 Gordexola,48042,2018,1686
48042 Gordexola,48042,2017,1674
48043 Gorliz,48043,2018,5683
48043 Gorliz,48043,2017,568
48045 Güeñes,48045,2018,6681
48045 Güeñes,48045,2017,6686
48048 Ibarrangelu,48048,2018,636
48048 Ibarrangelu,48048,2017,651
48094 Igorre,48094,2018,4257
48094 Igorre,48094,2017,4251
48049 Ispaster,48049,2018,725
48049 Ispaster,48049,2017,706
48910 Iurreta,48910,2018,3643
48910 Iurreta,48910,2017,3658
48050 Izurtza,48050,2018,255
48050 Izurtza,48050,2017,231
48022 Karrantza Harana/Valle de Carranza,48022,2018,2715
48022 Karrantza Harana/Valle de Carranza,48022,2017,2717
48907 Kortezubi,48907,2018,444
48907 Kortezubi,48907,2017,445
48051 Lanestosa,48051,2018,254
48051 Lanestosa,48051,2017,268
48052 Larrabetzu,48052,2018,2029
48052 Larrabetzu,48052,2017,2035
48053 Laukiz,48053,2018,1191
48053 Laukiz,48053,2017,119
48054 Leioa,48054,2018,31495
48054 Leioa,48054,2017,31197
48057 Lekeitio,48057,2018,7258
48057 Lekeitio,48057,2017,7228
48055 Lemoa,48055,2018,3521
48055 Lemoa,48055,2017,3534
48056 Lemoiz,48056,2018,1241
48056 Lemoiz,48056,2017,1243
48081 Lezama,48081,2018,2429
48081 Lezama,48081,2017,239
48903 Loiu,48903,2018,2416
48903 Loiu,48903,2017,2361
48058 Mallabia,48058,2018,1158
48058 Mallabia,48058,2017,1168
48059 Mañaria,48059,2018,519
48059 Mañaria,48059,2017,525
48060 Markina-Xemein,48060,2018,4934
48060 Markina-Xemein,48060,2017,4999
48061 Maruri-Jatabe,48061,2018,982
48061 Maruri-Jatabe,48061,2017,967
48062 Mendata,48062,2018,381
48062 Mendata,48062,2017,395
48063 Mendexa,48063,2018,432
48063 Mendexa,48063,2017,451
48064 Meñaka,48064,2018,755
48064 Meñaka,48064,2017,750
48066 Morga,48066,2018,423
48066 Morga,48066,2017,426
48068 Mundaka,48068,2018,1835
48068 Mundaka,48068,2017,1861
48069 Mungia,48069,2018,17554
48069 Mungia,48069,2017,17384
48007 Munitibar-Arbatzegi Gerrikaitz,48007,2018,460
48007 Munitibar-Arbatzegi Gerrikaitz,48007,2017,466
48908 Murueta,48908,2018,309
48908 Murueta,48908,2017,311
48071 Muskiz,48071,2018,7567
48071 Muskiz,48071,2017,7579
48067 Muxika,48067,2018,1455
48067 Muxika,48067,2017,1407
48909 Nabarniz,48909,2018,255
48909 Nabarniz,48909,2017,260
48073 Ondarroa,48073,2018,8397
48073 Ondarroa,48073,2017,8477
48075 Orozko,48075,2018,2651
48075 Orozko,48075,2017,2673
48083 Ortuella,48083,2018,836
48083 Ortuella,48083,2017,8376
48072 Otxandio,48072,2018,1296
48072 Otxandio,48072,2017,1295
48077 Plentzia,48077,2018,4363
48077 Plentzia,48077,2017,4387
48078 Portugalete,48078,2018,45826
48078 Portugalete,48078,2017,4612
48082 Santurtzi,48082,2018,45795
48082 Santurtzi,48082,2017,45765
48084 Sestao,48084,2018,27445
48084 Sestao,48084,2017,27744
48904 Sondika,48904,2018,4495
48904 Sondika,48904,2017,4471
48085 Sopela,48085,2018,13643
48085 Sopela,48085,2017,1351
48086 Sopuerta,48086,2018,2569
48086 Sopuerta,48086,2017,2596
48076 Sukarrieta,48076,2018,357
48076 Sukarrieta,48076,2017,367
48087 Trucios-Turtzioz,48087,2018,511
48087 Trucios-Turtzioz,48087,2017,510
48088 Ubide,48088,2018,177
48088 Ubide,48088,2017,175
48065 Ugao-Miraballes,48065,2018,4124
48065 Ugao-Miraballes,48065,2017,4133
48089 Urduliz,48089,2018,4319
48089 Urduliz,48089,2017,4248
48074 Urduña/Orduña,48074,2018,418
48074 Urduña/Orduña,48074,2017,4134
48080 Valle de Trápaga-Trapagaran,48080,2018,11953
48080 Valle de Trápaga-Trapagaran,48080,2017,11953
48095 Zaldibar,48095,2018,3054
48095 Zaldibar,48095,2017,3077
48096 Zalla,48096,2018,8379
48096 Zalla,48096,2017,8421
48905 Zamudio,48905,2018,3236
48905 Zamudio,48905,2017,3217
48097 Zaratamo,48097,2018,1615
48097 Zaratamo,48097,2017,1609
48024 Zeanuri,48024,2018,1242
48024 Zeanuri,48024,2017,1241
48025 Zeberio,48025,2018,1059
48025 Zeberio,48025,2017,1074
48913 Zierbena,48913,2018,1492
48913 Zierbena,48913,2017,1497
48915 Ziortza-Bolibar,48915,2018,427
48915 Ziortza-Bolibar,48915,2017,420
