waspbust_id,year_x,nest_foundDate,municip_name,species,nest_locType,nest_hight,nest_diameter,nest_longitude,nest_latitude,nest_status,nest_judgementDate,municip_code,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,month,year_offset,index,MMM,station_name,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind,year_cat,month_cat,population
13,2018,2018-08-23 00:00:00,Abadiño,Vespa Velutina,Urban Environment,6.0,1.0,"531609,1147","4777746,203",Nest Terminated,2018-08-23 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
15,2018,2018-08-17 00:00:00,Abadiño,Vespa Velutina,Urban Environment,4.0,50.0,"531297,3589","4774535,309",Nest Terminated,2018-08-17 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
16,2018,2018-08-16 00:00:00,Abadiño,Vespa Velutina,Urban Environment,15.0,100.0,"532079,6868","4777377,036",Nest Terminated,2018-08-16 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
17,2018,2018-10-08 00:00:00,Abadiño,Vespa Velutina,Urban Environment,5.0,15.0,"531149,7891","4778093,041",Nest Terminated,2018-08-13 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2017,3845.0,OCT,Urkiola,0.0,84.9,0.852602902,0.309591708,0.196137505,14.0,8.0,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8,2018,Oct,7522.0
19,2018,2018-07-08 00:00:00,Abadiño,Vespa Velutina,Urban Environment,12.0,30.0,"532794,4767","4776451,706",Nest Terminated,2018-07-08 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2017,2618.0,JUL,Urkiola,0.0,86.3,0.949928658,0.36303303,0.189405996,19.0,11.0,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30.0,2018,Jul,7522.0
20,2018,2018-02-08 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,10.0,"532468,038","4779169,747",Cannot Terminate,2018-02-08 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,2,2017,573.0,FEB,Urkiola,3.0,83.0,0.944826811,0.304045481,0.179970181,12.0,10.0,113.2,1.8,22.6,7.9,5.9,16.2,10.3,2.1,14.1,98.6,49.6,2018,Feb,7522.0
21,2018,2018-07-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,12.0,40.0,"532234,0342","4776818,139",Nest Terminated,2018-07-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2017,2618.0,JUL,Urkiola,0.0,86.3,0.949928658,0.36303303,0.189405996,19.0,11.0,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30.0,2018,Jul,7522.0
22,2018,2018-07-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,6.0,60.0,"531778,9511","4778367,681",Nest Terminated,2018-07-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2017,2618.0,JUL,Urkiola,0.0,86.3,0.949928658,0.36303303,0.189405996,19.0,11.0,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30.0,2018,Jul,7522.0
24,2019,2019-05-30 00:00:00,Abadiño,Vespa Velutina,Urban Environment,6.0,30.0,"531423,8703","4777433,263",Nest Terminated,2019-05-30 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,5,2018,1904.0,MAY,Urkiola,0.0,91.6,0.919314117,0.308696201,0.192892509,19.0,16.0,116.6,3.6,18.3,13.2,10.0,21.6,14.0,6.4,6.4,57.2,30.2,2019,May,7533.0
25,2019,2019-07-06 00:00:00,Abadiño,Vespa Velutina,Urban Environment,2.0,10.0,"532092,4451","4777209,48",Nest Terminated,2019-10-06 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,Urkiola,0.0,93.1,0.927074632,0.416514529,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0,2019,Jul,7533.0
39,2018,2018-11-23 00:00:00,Abadiño,Vespa Velutina,Natural Environment,0.0,10.0,"504851,6711","4790413,449",Nest Terminated,2018-11-23 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,11,2017,4254.0,NOV,Urkiola,6.0,84.6,0.981296525,0.305559699,0.192551152,16.0,16.0,206.4,2.6,50.3,5.6,6.4,16.4,10.0,3.2,10.2,68.4,40.8,2018,Nov,7522.0
27,2019,2019-07-17 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,30.0,"531935,3457","4780148,634",Nest Terminated,2019-07-22 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,Urkiola,0.0,93.1,0.927074632,0.416514529,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0,2019,Jul,7533.0
28,2019,2019-07-22 00:00:00,Abadiño,Vespa Velutina,Natural Environment,1.0,10.0,"531944,044","4780419,992",Nest Terminated,2019-07-22 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,Urkiola,0.0,93.1,0.927074632,0.416514529,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0,2019,Jul,7533.0
29,2019,2019-07-30 00:00:00,Abadiño,Vespa Velutina,Urban Environment,6.0,20.0,"532173,2799","4775351,385",Nest Terminated,2019-02-08 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,Urkiola,0.0,93.1,0.927074632,0.416514529,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0,2019,Jul,7533.0
30,2019,2019-06-08 00:00:00,Abadiño,Vespa Velutina,Urban Environment,6.0,20.0,"531612,4165","4775866,859",Cannot Terminate,2019-06-08 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,6,2018,2313.0,JUN,Urkiola,0.0,91.1,0.905732904,0.371786921,0.198000609,20.0,14.0,82.2,6.7,14.0,15.6,14.3,25.8,18.5,10.6,5.7,58.3,26.4,2019,Jun,7533.0
31,2019,2019-08-19 00:00:00,Abadiño,Vespa Velutina,Natural Environment,12.0,60.0,"531676,9774","4779213,04",Nest Terminated,2019-08-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,Urkiola,0.0,89.3,0.907256657,0.309321306,0.191946243,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8,2019,Aug,7533.0
32,2019,2019-08-20 00:00:00,Abadiño,Vespa Velutina,Natural Environment,1.0,45.0,"532167,0682","4779269,165",Nest Terminated,2019-08-21 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,Urkiola,0.0,89.3,0.907256657,0.309321306,0.191946243,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8,2019,Aug,7533.0
33,2019,2019-08-27 00:00:00,Abadiño,Vespa Velutina,Urban Environment,8.0,10.0,"532166,7159","4775349,208",Nest Terminated,2019-08-28 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,Urkiola,0.0,89.3,0.907256657,0.309321306,0.191946243,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8,2019,Aug,7533.0
34,2019,2019-08-27 00:00:00,Abadiño,Vespa Velutina,Natural Environment,16.0,80.0,"531734,0599","4777518,593",Nest Terminated,2019-08-28 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,Urkiola,0.0,89.3,0.907256657,0.309321306,0.191946243,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8,2019,Aug,7533.0
35,2019,2019-06-09 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,50.0,"532091,4914","4777002,77",Nest Terminated,2019-09-09 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,6,2018,2313.0,JUN,Urkiola,0.0,91.1,0.905732904,0.371786921,0.198000609,20.0,14.0,82.2,6.7,14.0,15.6,14.3,25.8,18.5,10.6,5.7,58.3,26.4,2019,Jun,7533.0
36,2019,2019-12-09 00:00:00,Abadiño,Vespa Velutina,Urban Environment,4.0,20.0,"530826,7943","4779782,069",Nest Terminated,2019-09-13 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,12,2018,4767.0,DIC,Urkiola,3.0,90.0,0.961030284,0.32162101600000004,0.182263202,11.0,9.0,69.6,1.1,25.2,4.4,6.6,14.7,9.9,3.4,12.1,96.5,41.9,2019,Dec,7533.0
37,2019,2019-09-30 00:00:00,Abadiño,Vespa Velutina,Urban Environment,3.0,40.0,"532440,9042","4778406,321",Nest Terminated,2019-01-10 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2018,3540.0,SET,Urkiola,0.0,87.4,0.817383387,0.306335255,0.204965362,9.0,6.0,38.1,1.9,13.6,15.5,16.0,28.9,21.8,11.9,6.5,60.5,27.8,2019,Sep,7533.0
38,2019,2019-11-11 00:00:00,Abadiño,Vespa Velutina,Natural Environment,6.0,30.0,"532501,8514","4778296,808",Nest Terminated,2019-11-13 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,11,2018,4358.0,NOV,Urkiola,1.0,87.3,1.022237169,0.314229988,0.187375564,19.0,14.0,102.8,1.6,28.1,5.9,7.6,16.2,11.0,4.9,13.6,77.0,47.8,2019,Nov,7533.0
40,2018,2018-11-23 00:00:00,Abadiño,Vespa Velutina,Natural Environment,1.0,15.0,,,Pending classification,,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,11,2017,4254.0,NOV,Urkiola,6.0,84.6,0.981296525,0.305559699,0.192551152,16.0,16.0,206.4,2.6,50.3,5.6,6.4,16.4,10.0,3.2,10.2,68.4,40.8,2018,Nov,7522.0
41,2018,2018-10-29 00:00:00,Abadiño,Vespa Velutina,Natural Environment,6.0,5.0,"532636,1567","4777892,418",Nest Terminated,2018-10-30 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2017,3845.0,OCT,Urkiola,0.0,84.9,0.852602902,0.309591708,0.196137505,14.0,8.0,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8,2018,Oct,7522.0
42,2018,2018-10-22 00:00:00,Abadiño,Vespa Velutina,Natural Environment,1.0,4.0,"531864,816","4777647,466",Nest Terminated,2018-10-23 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2017,3845.0,OCT,Urkiola,0.0,84.9,0.852602902,0.309591708,0.196137505,14.0,8.0,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8,2018,Oct,7522.0
43,2018,2018-10-17 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,40.0,"531503,8284","4778199,942",Nest Terminated,2018-02-11 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2017,3845.0,OCT,Urkiola,0.0,84.9,0.852602902,0.309591708,0.196137505,14.0,8.0,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8,2018,Oct,7522.0
44,2018,2018-10-16 00:00:00,Abadiño,Vespa Velutina,Urban Environment,3.0,6.0,"531477,1459","4779163,031",Nest Terminated,2018-10-19 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2017,3845.0,OCT,Urkiola,0.0,84.9,0.852602902,0.309591708,0.196137505,14.0,8.0,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8,2018,Oct,7522.0
45,2018,2018-09-27 00:00:00,Abadiño,Vespa Velutina,Natural Environment,1.0,20.0,"532197,8483","4776770,573",Nest Terminated,2018-01-10 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,Urkiola,0.0,88.6,0.910431623,0.328069798,0.201534399,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4,2018,Sep,7522.0
46,2018,2018-09-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,4.0,50.0,"532275,8939","4776866,603",Cannot Terminate,2018-09-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,Urkiola,0.0,88.6,0.910431623,0.328069798,0.201534399,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4,2018,Sep,7522.0
47,2018,2018-09-20 00:00:00,Abadiño,Vespa Velutina,Natural Environment,8.0,30.0,"531538,2341","4778244,112",Cannot Terminate,2018-09-21 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,Urkiola,0.0,88.6,0.910431623,0.328069798,0.201534399,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4,2018,Sep,7522.0
48,2018,2018-09-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,1.0,30.0,"531216,6956","4779313,656",Nest Terminated,2018-09-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,Urkiola,0.0,88.6,0.910431623,0.328069798,0.201534399,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4,2018,Sep,7522.0
49,2018,2018-09-20 00:00:00,Abadiño,Vespa Velutina,Natural Environment,2.0,25.0,"531209,8682","4778064,22",Nest Terminated,2018-09-21 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,Urkiola,0.0,88.6,0.910431623,0.328069798,0.201534399,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4,2018,Sep,7522.0
50,2018,2018-09-18 00:00:00,Abadiño,Vespa Velutina,Urban Environment,1.0,10.0,,,Nest Terminated,2018-09-18 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,Urkiola,0.0,88.6,0.910431623,0.328069798,0.201534399,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4,2018,Sep,7522.0
51,2018,2018-09-13 00:00:00,Abadiño,Vespa Velutina,Urban Environment,20.0,60.0,"532532,4613","4778573,442",Nest Terminated,2018-09-14 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,Urkiola,0.0,88.6,0.910431623,0.328069798,0.201534399,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4,2018,Sep,7522.0
52,2018,2018-08-30 00:00:00,Abadiño,Vespa Velutina,Natural Environment,0.0,15.0,"533916,0603","4778126,628",Nest Terminated,2018-08-30 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
53,2018,2018-08-30 00:00:00,Abadiño,Vespa Velutina,Urban Environment,20.0,5.0,"532090,3244","4777178,019",Nest Terminated,2018-08-30 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
54,2018,2018-08-30 00:00:00,Abadiño,Vespa Velutina,Urban Environment,3.0,30.0,"531411,7423","4777811,181",Nest Terminated,2018-08-30 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
55,2018,2018-08-23 00:00:00,Abadiño,Vespa Velutina,Urban Environment,1.0,20.0,"530718,1863","4774751,723",Nest Terminated,2018-08-27 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
56,2018,2018-08-22 00:00:00,Abadiño,Vespa Velutina,Urban Environment,5.0,20.0,"530026,0028","4776623,208",Nest Terminated,2018-08-23 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
57,2018,2018-08-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,15.0,35.0,"532162,671","4777708,946",Nest Terminated,2018-08-21 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
58,2018,2018-08-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,2.0,15.0,"530574,9101","4776014,692",Nest Terminated,2018-08-21 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
59,2018,2018-08-16 00:00:00,Abadiño,Vespa Velutina,Natural Environment,0.0,40.0,"531475,5494","4777927,186",Nest Terminated,2018-08-21 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
60,2018,2018-08-14 00:00:00,Abadiño,Vespa Velutina,Natural Environment,15.0,100.0,,,Nest Terminated,2018-08-14 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
61,2018,2018-08-14 00:00:00,Abadiño,Vespa Velutina,Urban Environment,0.0,50.0,"531867,6071","4777234,457",Nest Terminated,2018-08-17 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
62,2018,2018-08-13 00:00:00,Abadiño,Vespa Velutina,Urban Environment,3.0,25.0,"532073,3792","4777392,154",Cannot Terminate,2018-08-14 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,Urkiola,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4,2018,Aug,7522.0
63,2018,2018-09-08 00:00:00,Abadiño,Vespa Velutina,Urban Environment,40.0,30.0,"531552,6421","4779425,529",Nest Terminated,2018-08-14 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,Urkiola,0.0,88.6,0.910431623,0.328069798,0.201534399,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4,2018,Sep,7522.0
